Month,Rate,Zone
1.0,11.251388129032302,24.0
1.0,11.019058580645199,30.0
1.0,9.42594167741935,48.0
2.0,9.91162106666667,3.0
2.0,11.146286666666699,7.0
2.0,10.923360933333301,13.0
2.0,12.209470933333302,17.0
2.0,11.6950269333333,18.0
2.0,11.043397866666698,22.0
2.0,12.209470933333302,24.0
2.0,11.146286666666699,30.0
2.0,9.55151026666667,48.0
3.0,12.0313516129032,3.0
3.0,13.674253419354802,7.0
3.0,11.583287483871,13.0
3.0,12.8445050322581,17.0
3.0,12.2470861935484,18.0
3.0,12.794720129032301,24.0
3.0,12.645365419354802,30.0
3.0,11.7824270967742,48.0
4.0,9.06085238709677,3.0
4.0,11.8836564,7.0
4.0,8.59619329032258,13.0
4.0,10.4548296774194,17.0
4.0,9.741246064516131,18.0
4.0,10.023360516129,24.0
4.0,10.3884498064516,30.0
4.0,9.890600774193551,48.0
5.0,10.974805333333302,3.0
5.0,12.9006726153846,7.0
5.0,10.5118057333333,13.0
5.0,11.592138133333302,17.0
5.0,11.2663236,18.0
5.0,10.871916533333302,24.0
5.0,11.386360533333301,30.0
5.0,10.3574725333333,38.0
5.0,11.214879199999999,48.0
6.0,11.197731066666698,3.0
6.0,19.548872,7.0
6.0,14.1057225806452,9.0
6.0,10.9526787096774,13.0
6.0,13.143214451612899,17.0
6.0,12.910884903225801,18.0
6.0,12.014756645161299,24.0
6.0,13.8042473333333,30.0
6.0,11.052248516129,38.0
6.0,12.047946580645199,48.0
7.0,15.0516357419355,3.0
7.0,19.174730909090897,9.0
7.0,14.181506266666698,13.0
7.0,14.9874685333333,17.0
7.0,14.352987599999999,18.0
7.0,14.490172666666698,24.0
7.0,16.9268670967742,30.0
7.0,13.032581333333301,38.0
7.0,15.1418017333333,48.0
8.0,11.433932774193499,3.0
8.0,14.315734758620698,7.0
8.0,13.7356548,9.0
8.0,10.239095096774198,13.0
8.0,12.081136516129,17.0
8.0,11.599882451612899,18.0
8.0,11.898591870967698,24.0
8.0,13.093429548387101,30.0
8.0,10.1229303225806,38.0
8.0,11.437804933333302,48.0
9.0,13.6078735483871,3.0
9.0,10.38533825,9.0
9.0,11.7293232,13.0
9.0,12.243767199999999,17.0
9.0,11.900804533333302,18.0
9.0,12.329507866666699,24.0
9.0,13.4955809333333,30.0
9.0,11.180582933333302,38.0
9.0,12.645365419354802,48.0
10.0,11.868958000000001,3.0
10.0,11.20753,9.0
10.0,10.093746068965501,13.0
10.0,10.6968873103448,17.0
10.0,10.750105655172401,18.0
10.0,11.721974000000001,24.0
10.0,12.30991,30.0
10.0,9.50834427586207,38.0
10.0,10.619594000000001,48.0
11.0,11.599882451612899,3.0
11.0,12.296871096774199,9.0
11.0,11.583287483871,13.0
11.0,12.446225806451599,17.0
11.0,10.156120258064501,18.0
11.0,12.081136516129,22.0
11.0,12.50741975,24.0
11.0,13.391620375,30.0
11.0,10.371854838709698,38.0
11.0,11.1186283870968,48.0
12.0,11.009101600000001,3.0
12.0,11.672556965517199,9.0
12.0,10.837620266666699,13.0
12.0,11.8493601333333,17.0
12.0,9.80873226666667,18.0
12.0,12.020841466666699,24.0
12.0,11.866508266666699,30.0
12.0,10.2717318666667,38.0
12.0,10.7347314666667,48.0
1.0,8.76214296774194,3.0
1.0,10.4880196129032,9.0
1.0,9.39275174193548,13.0
1.0,10.172715225806499,17.0
1.0,8.961282580645161,18.0
1.0,8.828522838709679,22.0
1.0,10.8531089032258,24.0
1.0,10.322069935483901,30.0
1.0,9.39275174193548,38.0
1.0,9.40934670967742,48.0
2.0,11.060546,3.0
2.0,13.581321599999999,9.0
2.0,11.043397866666698,13.0
2.0,12.072285866666698,17.0
2.0,10.220287466666699,18.0
2.0,11.262649,22.0
2.0,12.8096556,24.0
2.0,12.929692533333302,30.0
2.0,10.2374356,38.0
2.0,11.386360533333301,48.0
3.0,8.41364864516129,3.0
3.0,10.4880196129032,9.0
3.0,8.92809264516129,13.0
3.0,9.69146116129032,17.0
3.0,8.67916812903226,18.0
3.0,9.41964703448276,22.0
3.0,9.774436,24.0
3.0,10.3552598709677,30.0
3.0,8.778737935483871,38.0
3.0,8.1282152,48.0
4.0,11.1352233548387,3.0
4.0,13.840203096774198,9.0
4.0,10.9526787096774,13.0
4.0,11.6828572903226,17.0
4.0,10.205905161290302,18.0
4.0,11.6797841481481,22.0
4.0,12.413035870967699,24.0
4.0,12.3134660645161,30.0
4.0,10.28888,38.0
4.0,11.068843483871,48.0
5.0,8.4368816,3.0
5.0,10.1859912,9.0
5.0,8.402585333333331,13.0
5.0,8.642659199999999,17.0
5.0,8.1282152,18.0
5.0,8.5912148,24.0
5.0,9.07136253333333,30.0
5.0,8.0253264,38.0
5.0,9.13995506666667,48.0
6.0,10.471424645161301,3.0
6.0,13.692124923076902,9.0
6.0,11.0854384516129,13.0
6.0,11.1518183225806,17.0
6.0,9.62508129032258,18.0
6.0,11.102033419354802,24.0
6.0,12.496010709677401,30.0
6.0,9.824220903225811,38.0
6.0,10.936083741935501,48.0
7.0,12.638174266666699,3.0
7.0,14.404432,9.0
7.0,11.7293232,13.0
7.0,12.346656,17.0
7.0,10.6661389333333,18.0
7.0,12.380952266666698,24.0
7.0,14.593061466666699,30.0
7.0,10.991953466666699,38.0
7.0,12.638174266666699,48.0
8.0,12.2470861935484,9.0
8.0,10.587589419354801,13.0
8.0,11.019058580645199,17.0
8.0,9.17701716129032,18.0
8.0,11.262649,22.0
8.0,10.6705642580645,24.0
8.0,11.7824270967742,30.0
8.0,9.47572658064516,38.0
8.0,10.587589419354801,48.0
9.0,13.1764043870968,3.0
9.0,14.5869766451613,9.0
9.0,12.243767199999999,13.0
9.0,12.595580516129,17.0
9.0,10.6705642580645,18.0
9.0,12.7117452903226,22.0
9.0,12.047946580645199,24.0
9.0,13.358395866666699,30.0
9.0,11.1352233548387,38.0
9.0,12.7781251612903,48.0
10.0,12.772402758620698,3.0
10.0,14.1738191724138,9.0
10.0,12.072285866666698,13.0
10.0,12.027345931034501,17.0
10.0,11.0161973793103,18.0
10.0,12.3289165517241,22.0
10.0,11.885430344827599,24.0
10.0,12.483841066666699,30.0
10.0,10.5017533793103,38.0
10.0,12.6837055172414,48.0
11.0,14.884579733333302,3.0
11.0,14.371242064516098,9.0
11.0,12.910884903225801,13.0
11.0,13.441923870967699,17.0
11.0,12.097731483871,18.0
11.0,13.2759741935484,22.0
11.0,12.993859741935502,24.0
11.0,13.358949032258101,30.0
11.0,12.072285866666698,38.0
11.0,12.7582112,48.0
12.0,13.82825472,3.0
12.0,16.4107636,9.0
12.0,14.3872838666667,13.0
12.0,14.473024533333302,17.0
12.0,13.855691733333302,18.0
12.0,14.438728266666699,22.0
12.0,14.4558764,24.0
12.0,15.278986800000002,30.0
12.0,12.9606698064516,38.0
12.0,14.6865464516129,48.0
1.0,13.126619483871,3.0
1.0,15.035040774193499,9.0
1.0,13.939772903225801,13.0
1.0,14.5205967741935,17.0
1.0,13.8070131612903,18.0
1.0,13.1804100689655,22.0
1.0,14.404432,24.0
1.0,15.2673703225806,30.0
1.0,12.977264774193499,38.0
1.0,14.188697419354801,48.0
2.0,11.743514758620698,3.0
2.0,13.135470133333301,9.0
2.0,11.8493601333333,13.0
2.0,12.243767199999999,17.0
2.0,11.8493601333333,18.0
2.0,12.209470933333302,22.0
2.0,11.609286266666698,24.0
2.0,12.3981004,30.0
2.0,10.9405090666667,38.0
2.0,12.453092689655199,48.0
3.0,9.3242975,3.0
3.0,11.5003126451613,9.0
3.0,9.45913161290323,13.0
3.0,10.5212095483871,17.0
3.0,10.222500129032301,18.0
3.0,9.890600774193551,22.0
3.0,10.371854838709698,24.0
3.0,10.936083741935501,30.0
3.0,8.92809264516129,38.0
3.0,10.546102000000001,48.0
4.0,9.591891354838712,3.0
4.0,11.5169076129032,9.0
4.0,10.172715225806499,13.0
4.0,11.8156170322581,17.0
4.0,10.936083741935501,18.0
4.0,10.5549717241379,22.0
4.0,12.379845935483901,24.0
4.0,11.7160472258065,30.0
4.0,10.222500129032301,38.0
4.0,10.9692736774194,48.0
5.0,9.113008,3.0
5.0,12.089433999999999,9.0
5.0,9.00277,13.0
5.0,10.4432132,17.0
5.0,9.774436,18.0
5.0,10.164703862069,22.0
5.0,11.033936827586201,24.0
5.0,11.060546,30.0
5.0,9.08851066666667,38.0
5.0,11.352064266666698,48.0
6.0,12.0036933333333,3.0
6.0,13.242784258064498,9.0
6.0,9.990170580645161,13.0
6.0,11.8819969032258,17.0
6.0,10.6705642580645,18.0
6.0,11.0854384516129,22.0
6.0,12.047946580645199,24.0
6.0,12.1309214193548,30.0
6.0,10.073145419354802,38.0
6.0,12.064541548387101,48.0
7.0,13.615617866666698,3.0
7.0,15.4847644,9.0
7.0,12.435353241379302,13.0
7.0,13.169766399999999,17.0
7.0,11.763619466666698,18.0
7.0,13.8385436,22.0
7.0,13.924284266666698,24.0
7.0,15.038912933333302,30.0
7.0,11.111990400000002,38.0
7.0,14.250098800000002,48.0
8.0,14.248539878787902,3.0
8.0,15.9311690322581,9.0
8.0,12.9440748387097,13.0
8.0,12.047946580645199,17.0
8.0,11.3011730322581,18.0
8.0,12.603878,22.0
8.0,12.910884903225801,24.0
8.0,14.0393427096774,30.0
8.0,12.047946580645199,38.0
8.0,14.968660903225802,48.0
9.0,12.621026133333302,2.0
9.0,6.940546357348701,3.0
9.0,8.59550183333333,9.0
9.0,5.921045270310191,13.0
9.0,5.214371149394349,17.0
9.0,6.25958208383234,18.0
9.0,6.77180759659091,22.0
9.0,6.36402093499308,24.0
9.0,7.704112585365849,30.0
9.0,6.522510196891191,38.0
9.0,7.016422871016691,48.0
10.0,7.29905251764706,2.0
10.0,6.68533387677725,3.0
10.0,9.58443229268293,9.0
10.0,7.1916992572402,13.0
10.0,6.80336879166667,17.0
10.0,7.4031181503268,18.0
10.0,9.32176215770609,22.0
10.0,7.840464908819129,24.0
10.0,9.12535560581583,30.0
10.0,7.774496899408281,38.0
10.0,7.784605433962259,48.0
11.0,10.7203491612903,2.0
11.0,6.16997110603589,3.0
11.0,8.12419467850799,9.0
11.0,6.27162940127389,13.0
11.0,5.74877340860215,17.0
11.0,6.7925661481481505,18.0
11.0,6.940777245901639,22.0
11.0,7.0597758602150495,24.0
11.0,7.99258149919225,30.0
11.0,7.47585642553191,38.0
11.0,6.875848301075269,48.0
12.0,4.584267644444441,2.0
12.0,7.94884269026549,3.0
12.0,10.394259590316599,9.0
12.0,8.40179143827161,13.0
12.0,8.31470115,17.0
12.0,7.7792481424332305,18.0
12.0,9.26667309090909,22.0
12.0,9.16853528888889,24.0
12.0,10.341082173486098,30.0
12.0,7.899081537091991,32.0
12.0,9.25069481927711,38.0
12.0,8.77362237758112,48.0
1.0,15.184395483871,2.0
1.0,7.974596505555559,3.0
1.0,10.1360260319489,9.0
1.0,8.22272046814815,13.0
1.0,8.03058147311828,17.0
1.0,7.083498153846151,18.0
1.0,8.80033535740072,22.0
1.0,8.54074235897436,24.0
1.0,9.86255446655791,30.0
1.0,8.02502773875181,32.0
1.0,8.83390670229008,38.0
1.0,8.86301389270977,48.0
2.0,8.745548,3.0
2.0,8.81628405,9.0
2.0,6.51012805625,13.0
2.0,6.43983857222222,17.0
2.0,6.17767541408451,18.0
2.0,6.972656719101121,22.0
2.0,6.78794190264256,24.0
2.0,8.139924559701491,30.0
2.0,6.4707902515337405,32.0
2.0,7.00806549253731,38.0
2.0,8.231104,48.0
3.0,5.428128572347269,3.0
3.0,8.66965952173913,9.0
3.0,6.12260816901408,13.0
3.0,5.764676919354839,17.0
3.0,5.42780819230769,18.0
3.0,6.90421954962963,22.0
3.0,6.0816379809523795,24.0
3.0,7.8777242429906496,30.0
3.0,5.80541294117647,32.0
3.0,6.595907,38.0
3.0,6.61489243333333,43.0
3.0,5.76129646296296,48.0
4.0,11.489249333333301,2.0
4.0,6.36018882511211,3.0
4.0,10.0533789688889,9.0
4.0,7.14226504566929,13.0
4.0,6.80877697311828,17.0
4.0,5.702529457579969,18.0
4.0,7.738617975609761,22.0
4.0,6.852505763907731,24.0
4.0,8.60046978930308,30.0
4.0,6.841313747692309,32.0
4.0,7.55500664822134,38.0
4.0,8.327382625698322,43.0
4.0,7.01701616,48.0
5.0,4.572835555555559,2.0
5.0,7.3388651875,3.0
5.0,10.9161121955836,9.0
5.0,7.26754222222222,13.0
5.0,7.21256401149425,17.0
5.0,6.2501989425287405,18.0
5.0,8.45088229113924,22.0
5.0,7.50085510169492,24.0
5.0,9.82152070508475,30.0
5.0,7.481011458064519,32.0
5.0,7.66677452121212,38.0
5.0,8.81443366381766,43.0
5.0,7.43215687878788,48.0
6.0,6.0580215862069,2.0
6.0,5.61008298814229,3.0
6.0,9.9331835709571,9.0
6.0,6.49654775,13.0
6.0,6.07972777222222,17.0
6.0,5.618347581661889,18.0
6.0,7.95036022418879,22.0
6.0,6.59096042307692,24.0
6.0,9.20934725388601,30.0
6.0,6.58659541906203,32.0
6.0,5.69462082067851,38.0
6.0,8.28442593284672,43.0
6.0,6.77247652567976,48.0
7.0,14.1057225806452,2.0
7.0,7.433108188976379,3.0
7.0,10.1470473084112,9.0
7.0,6.968893366929129,13.0
7.0,6.6949170555555595,17.0
7.0,6.3013707628866,18.0
7.0,9.44480276470588,22.0
7.0,7.336830059405941,24.0
7.0,10.287262251572301,30.0
7.0,7.3140516521739105,32.0
7.0,6.555555084112151,38.0
7.0,8.75867945345345,43.0
7.0,6.86711944954128,48.0
8.0,18.2113176,2.0
8.0,9.44778204755245,3.0
8.0,11.3414645289747,9.0
8.0,7.91067888,13.0
8.0,7.36055965053763,17.0
8.0,6.8213295769230795,18.0
8.0,9.34296683870968,22.0
8.0,8.31684466666667,24.0
8.0,10.251493081395301,30.0
8.0,9.17129475862069,32.0
8.0,7.35195330259366,38.0
8.0,10.0334874594595,43.0
8.0,7.58261473239437,48.0
9.0,20.749241333333302,2.0
9.0,12.4257464210526,3.0
9.0,14.1048107692308,9.0
9.0,11.024008784090901,13.0
9.0,10.1084097258065,17.0
9.0,8.90508186338798,18.0
9.0,10.434224773234199,22.0
9.0,10.883271378378401,24.0
9.0,11.8166442310867,30.0
9.0,11.177038638297901,32.0
9.0,10.4007788361582,38.0
9.0,13.465356150838002,43.0
9.0,10.3854724061196,48.0
10.0,20.6349204444444,2.0
10.0,10.552102513219301,3.0
10.0,12.7250883670295,9.0
10.0,9.928344039669419,13.0
10.0,8.97367941666667,17.0
10.0,8.06759256371814,18.0
10.0,11.314681336,22.0
10.0,9.8910742042042,24.0
10.0,11.7525666413902,30.0
10.0,9.7596200128,32.0
10.0,9.594337514237859,38.0
10.0,12.206520716845901,43.0
10.0,9.35786577987421,48.0
11.0,12.158026533333302,2.0
11.0,7.6338923106796095,3.0
11.0,9.6937711808,9.0
11.0,7.307070828025481,13.0
11.0,6.623466499999999,17.0
11.0,6.0315122137834,18.0
11.0,7.3471002285714295,24.0
11.0,8.80914012678288,30.0
11.0,7.33454408092486,32.0
11.0,6.67648326018809,38.0
11.0,7.578413648208469,43.0
11.0,6.20944226361032,48.0
12.0,12.380952266666698,2.0
12.0,7.73705645814978,3.0
12.0,10.323639729729699,9.0
12.0,7.594135932824429,13.0
12.0,7.9488743055555595,17.0
12.0,6.96321085552408,18.0
12.0,8.85529605333333,22.0
12.0,8.409097282700419,24.0
12.0,9.744681248097411,30.0
12.0,8.10511771428571,32.0
12.0,6.892399086261981,38.0
12.0,8.72148044444444,43.0
12.0,7.19332071469741,48.0
1.0,12.0232912,2.0
1.0,8.39989447075606,3.0
1.0,9.95524793529412,9.0
1.0,7.67378966666667,13.0
1.0,7.750541392473121,17.0
1.0,6.67580818604651,18.0
1.0,8.377024439942112,22.0
1.0,8.37629308005427,24.0
1.0,9.41970238377535,30.0
1.0,8.22891797733711,32.0
1.0,7.70808593333333,38.0
1.0,9.611388174863391,43.0
1.0,7.8761159943899,48.0
2.0,13.8385436,2.0
2.0,7.433418433526009,3.0
2.0,10.2358207533632,9.0
2.0,7.10088612121212,13.0
2.0,7.61591471666667,17.0
2.0,6.7153444569816605,18.0
2.0,7.43595931845842,22.0
2.0,8.64998787150838,24.0
2.0,8.587943768786129,30.0
2.0,7.71515357540264,32.0
2.0,6.97757800894188,38.0
2.0,9.06636099444444,43.0
2.0,7.413611091954019,48.0
3.0,15.6048013333333,2.0
3.0,8.59099712270804,3.0
3.0,11.339389559420303,9.0
3.0,7.712306454160791,13.0
3.0,8.46758229032258,17.0
3.0,7.29234769811321,18.0
3.0,9.42114313253012,22.0
3.0,9.663653981157472,24.0
3.0,9.316987953956831,30.0
3.0,8.16112174819103,32.0
3.0,7.878532465517241,38.0
3.0,11.0176756666667,43.0
3.0,8.890235375,48.0
4.0,12.8942899354839,2.0
4.0,8.72132210526316,3.0
4.0,9.55933222222222,9.0
4.0,6.6356163870967695,13.0
4.0,6.61724338709677,17.0
4.0,6.5320943108665706,18.0
4.0,8.246933046153849,22.0
4.0,7.6823170081743894,24.0
4.0,8.37219958089368,30.0
4.0,7.212036516886929,32.0
4.0,6.64584239498433,38.0
4.0,8.69956417877095,43.0
4.0,7.446668113475179,48.0
5.0,17.6282810666667,2.0
5.0,11.5341435879828,3.0
5.0,13.0759560235294,9.0
5.0,8.20518544732824,13.0
5.0,8.34904263853727,17.0
5.0,7.695074937062941,18.0
5.0,10.437819186228499,22.0
5.0,9.158837280898881,24.0
5.0,10.6507482173913,30.0
5.0,8.86752956701031,32.0
5.0,8.44645265116279,38.0
5.0,11.9505188545994,43.0
5.0,9.78566840174672,48.0
6.0,13.4253289032258,2.0
6.0,10.1922441104972,3.0
6.0,10.6232686,9.0
6.0,7.279142205607481,13.0
6.0,7.7809655,17.0
6.0,7.442148729766799,18.0
6.0,10.5252235909091,22.0
6.0,8.412060716981129,24.0
6.0,10.555869924050599,30.0
6.0,8.17151297947214,32.0
6.0,7.65486251482059,38.0
6.0,8.34820050986343,43.0
6.0,7.89308315850144,48.0
7.0,18.0741325333333,2.0
7.0,9.99311176368876,3.0
7.0,12.4246020606061,9.0
7.0,8.610624803680981,13.0
7.0,9.10959232983508,17.0
7.0,7.23414200282087,18.0
7.0,10.124073089820401,22.0
7.0,9.30806417294282,24.0
7.0,10.9104998333333,30.0
7.0,8.848590594917788,32.0
7.0,8.30850514893617,38.0
7.0,10.849369913580198,43.0
7.0,9.3242975,48.0
8.0,18.9016682580645,2.0
8.0,11.284463774104701,3.0
8.0,14.3441942772544,9.0
8.0,10.3415723773585,13.0
8.0,11.6586562956989,17.0
8.0,9.81938070430108,18.0
8.0,12.076296317204301,22.0
8.0,12.3086258655914,24.0
8.0,11.635595731506902,30.0
8.0,11.210708032432402,32.0
8.0,10.3981302043011,38.0
8.0,13.0218168116788,43.0
8.0,10.920337507402401,48.0
9.0,18.2212745806452,2.0
9.0,9.825951949930461,3.0
9.0,14.4734605028249,9.0
9.0,9.16248776237624,13.0
9.0,10.020894020202,17.0
9.0,8.05893120967742,18.0
9.0,10.7655312623688,22.0
9.0,10.615809859078599,24.0
9.0,10.6287291787709,30.0
9.0,9.95284345961003,32.0
9.0,9.244469982758618,38.0
9.0,11.9255436400581,43.0
9.0,10.801153350211,48.0
10.0,12.7848860740741,2.0
10.0,6.5671607272727295,3.0
10.0,10.5919312808989,9.0
10.0,6.00960060521739,13.0
10.0,7.32379535802469,17.0
10.0,5.8829286555386995,18.0
10.0,7.40610573211009,22.0
10.0,7.00901199403875,24.0
10.0,7.9361784495114005,30.0
10.0,7.30927841975309,32.0
10.0,6.302884669117651,38.0
10.0,8.05260080172414,43.0
10.0,7.17601746296296,48.0
11.0,8.18257154716981,2.0
11.0,9.17565691803279,3.0
11.0,10.7671465035162,9.0
11.0,7.3978805982906,13.0
11.0,8.4348441980198,17.0
11.0,7.34465613978495,18.0
11.0,8.85312021621622,22.0
11.0,9.188080473118278,24.0
11.0,10.050864913616401,30.0
11.0,8.47185751829268,32.0
11.0,7.61318410271041,38.0
11.0,8.5892420058997,43.0
11.0,8.27051421067032,48.0
12.0,2.8102463283582098,2.0
12.0,7.87761177777778,3.0
12.0,8.81661233633634,9.0
12.0,6.850019723076921,13.0
12.0,7.39708115151515,17.0
12.0,6.329024440725241,18.0
12.0,8.14027248125,22.0
12.0,8.234676527777781,24.0
12.0,8.855105518518519,30.0
12.0,7.70524482248521,32.0
12.0,7.19737037362637,38.0
12.0,8.14103813649852,43.0
12.0,7.547465084444441,48.0
1.0,8.03324092307692,2.0
1.0,8.95349930704225,3.0
1.0,10.0883340338983,9.0
1.0,7.616775252554739,13.0
1.0,8.895095674418599,17.0
1.0,7.51408462246279,18.0
1.0,9.06495958226037,22.0
1.0,8.984421728129211,24.0
1.0,10.2837059942529,30.0
1.0,8.63624686685552,32.0
1.0,7.56557512481645,38.0
1.0,9.064831150227619,43.0
1.0,8.94239783783784,48.0
2.0,5.09577637837838,2.0
2.0,7.918441918446599,3.0
2.0,8.893713888888891,9.0
2.0,6.7333759004665605,13.0
2.0,7.467974949494951,17.0
2.0,6.82194358716876,18.0
2.0,6.903720555873929,22.0
2.0,7.995436916201121,24.0
2.0,8.986842941176471,30.0
2.0,7.61848947337278,32.0
2.0,7.037236328594,38.0
2.0,9.02007545565749,43.0
2.0,7.877748525252531,48.0
3.0,2.7418770638297896,2.0
3.0,8.19278198645598,3.0
3.0,9.271031570815449,9.0
3.0,6.93129115372907,13.0
3.0,8.017722250377071,17.0
3.0,6.71356390785908,18.0
3.0,8.69230379591837,22.0
3.0,8.14160483835616,24.0
3.0,8.80849356495468,30.0
3.0,7.707777513669059,32.0
3.0,7.340690400000001,38.0
3.0,9.40879193604651,43.0
3.0,8.30864338550725,48.0
4.0,3.7900874285714306,2.0
4.0,6.90696987826087,3.0
4.0,7.37343188235294,9.0
4.0,5.60190190327613,13.0
4.0,6.130242237855951,17.0
4.0,5.57559306666667,18.0
4.0,6.73984486561955,22.0
4.0,6.21424968181818,24.0
4.0,6.93346472952087,30.0
4.0,5.97658139184953,32.0
4.0,5.45191398013245,38.0
4.0,8.05093006451613,43.0
4.0,6.58259678222222,48.0
5.0,9.209556313725491,2.0
5.0,9.32487682882883,3.0
5.0,10.169642979591801,9.0
5.0,7.23989820382166,13.0
5.0,6.951906613861389,17.0
5.0,6.63833378830084,18.0
5.0,8.65110363714903,22.0
5.0,8.40234036,24.0
5.0,8.913132030303029,30.0
5.0,7.7535180304877995,32.0
5.0,7.23238149603803,38.0
5.0,10.254364587859401,43.0
5.0,8.82988308196721,48.0
6.0,6.320312,2.0
6.0,8.4274238551532,3.0
6.0,9.21096248648649,9.0
6.0,5.816856353697751,13.0
6.0,5.36612243502052,17.0
6.0,5.5086048423913,18.0
6.0,7.45488173268921,22.0
6.0,6.70905933793103,24.0
6.0,7.94114465454545,30.0
6.0,6.678093603473231,32.0
6.0,5.84332292604502,38.0
6.0,8.91484833068363,43.0
6.0,7.164841863247861,48.0
7.0,5.8048748648648605,2.0
7.0,8.90440949494949,3.0
7.0,10.1957751042945,9.0
7.0,6.882499922535209,13.0
